"Day","Feedback","Visits"
2013-01-11,FALSE,3077
2013-01-12,FALSE,2970
2013-01-13,FALSE,3086
2013-01-14,TRUE,3143
2013-01-15,FALSE,3298
2013-01-16,FALSE,3383
2013-01-17,FALSE,2892
2013-01-18,TRUE,3522
2013-01-19,FALSE,2814
2013-01-20,FALSE,3184
2013-01-21,FALSE,3129
2013-01-22,FALSE,2907
2013-01-23,FALSE,2851
2013-01-24,FALSE,2808
2013-01-25,FALSE,2449
2013-01-26,FALSE,2255
2013-01-27,FALSE,2474
2013-01-28,TRUE,2896
2013-01-29,FALSE,2709
2013-01-30,FALSE,2623
2013-01-31,FALSE,2781
2013-02-01,FALSE,4271
2013-02-02,FALSE,3549
2013-02-03,FALSE,2658
2013-02-04,FALSE,3036
2013-02-05,FALSE,2863
2013-02-06,FALSE,2654
2013-02-07,FALSE,2381
2013-02-08,FALSE,2202
2013-02-09,FALSE,2156
2013-02-10,FALSE,2417
2013-02-11,FALSE,2417
2013-02-12,FALSE,2338
2013-02-13,FALSE,2450
2013-02-14,FALSE,2196
2013-02-15,FALSE,2074
2013-02-16,FALSE,2100
2013-02-17,TRUE,2115
2013-02-18,FALSE,10674
2013-02-19,TRUE,35057
2013-02-20,FALSE,8573
2013-02-21,TRUE,4693
2013-02-22,TRUE,3479
2013-02-23,FALSE,4567
2013-02-24,FALSE,4410
2013-02-25,TRUE,3947
2013-02-26,FALSE,3799
2013-02-27,FALSE,3465
2013-02-28,FALSE,2987
2013-03-01,FALSE,2615
2013-03-02,FALSE,2469
2013-03-03,FALSE,2581
2013-03-04,FALSE,3122
2013-03-05,FALSE,3059
2013-03-06,FALSE,3280
2013-03-07,FALSE,3618
2013-03-08,FALSE,3014
2013-03-09,FALSE,2570
2013-03-10,TRUE,2806
2013-03-11,FALSE,3497
2013-03-12,FALSE,3054
2013-03-13,FALSE,2881
2013-03-14,FALSE,2294
2013-03-15,FALSE,2318
2013-03-16,FALSE,2395
2013-03-17,FALSE,2634
2013-03-18,FALSE,3329
2013-03-19,FALSE,4420
2013-03-20,FALSE,3371
2013-03-21,FALSE,2950
2013-03-22,FALSE,4004
2013-03-23,FALSE,5049
2013-03-24,FALSE,4854
2013-03-25,FALSE,4321
2013-03-26,FALSE,3519
2013-03-27,FALSE,2852
