"Product","Dead","Started","Ended","Hits","Type","Profit","FLOSS","Acquisition","Social","Days","AvgHits","DeflatedHits","AvgDeflatedHits"
"Shared Stuff",TRUE,2007-09-20,2009-04-01,49300,"service",FALSE,FALSE,FALSE,TRUE,559,24.0840254030288,1.55936386696171e-06,-0.237939827250852
"TV Ads",TRUE,2007-04-02,2012-12-16,2520000,"service",TRUE,FALSE,FALSE,FALSE,2085,1136.15870153291,0.000103369749971273,-0.766618323399241
"Dodgeball",TRUE,2005-05-12,2009-03-06,1810000,"service",FALSE,FALSE,TRUE,TRUE,1394,622.42090784044,0.000211934737594221,-0.76054379801929
"Ride Finder",TRUE,2005-03-31,2009-01-30,25600,"service",FALSE,FALSE,FALSE,TRUE,1401,8.67796610169492,3.19515175010718e-06,-0.170760894557418
"Snapseed Desktop for Mac/Windows",TRUE,2012-09-17,2013-03-13,65200,"program",FALSE,FALSE,TRUE,TRUE,177,292.37668161435,1.28873250246971e-07,-0.357910158771496
"Building Maker",TRUE,2009-10-13,2013-06-01,1730000,"service",FALSE,FALSE,FALSE,FALSE,1327,1337.97370456303,1.73925750493184e-05,-0.656866933391734
"Cloud Connect",TRUE,2011-02-24,2013-04-30,530000,"program",FALSE,FALSE,FALSE,FALSE,796,667.506297229219,2.49550917200845e-06,-0.504111298728813
"Google Voice App for Blackberry",TRUE,2009-07-15,2013-03-17,281000,"program",FALSE,FALSE,FALSE,FALSE,1341,203.181489515546,3.23922520916394e-06,-0.420413406649005
"Search API for Shopping",TRUE,2011-02-11,2013-09-16,217000,"service",TRUE,FALSE,FALSE,FALSE,948,268.897149938042,1.04213863358292e-06,-0.406144423234766
"Hello",TRUE,2004-07-13,2008-05-15,62700,"service",FALSE,FALSE,TRUE,TRUE,1402,19.5266272189349,1.16366636982738e-05,-0.261569187633375
"Gears",TRUE,2007-05-31,2010-02-22,865000,"program",FALSE,TRUE,FALSE,FALSE,998,400.64844835572,3.24382832154453e-05,-0.57981666608543
"Directory",TRUE,2000-03-03,2011-07-20,562000,"service",TRUE,FALSE,FALSE,FALSE,4156,116.985845129059,0.00117484042362692,-0.705842460852586
"Browser Sync",TRUE,2006-06-08,2008-06-24,152000,"program",FALSE,TRUE,FALSE,FALSE,747,60.4133545310016,9.80783017095475e-06,-0.355627211661127
"Checkout",TRUE,2006-06-28,2011-09-19,21400000,"service",FALSE,FALSE,FALSE,FALSE,1909,8573.71794871795,0.00133948956811581,-1.36898229863364
"Web Security",TRUE,2007-07-09,2011-09-02,4e+06,"service",TRUE,FALSE,TRUE,FALSE,1516,1886.79245283019,0.000141369056904007,-0.850915756247385
"Message Filtering",TRUE,2007-07-09,2013-03-31,48500,"service",TRUE,FALSE,TRUE,FALSE,2092,22.877358490566,1.71409981496108e-06,-0.235763855470457
"Postini Small Business Edition",TRUE,2007-07-09,2013-03-31,40900,"service",TRUE,FALSE,TRUE,FALSE,2092,19.2924528301887,1.44549860684347e-06,-0.22010125649058
"Related",TRUE,2011-08-16,2012-04-27,320000,"service",TRUE,FALSE,TRUE,FALSE,255,515.297906602254,1.15829857704714e-06,-0.456869336341482
"Picasa Web Albums Uploader for Mac",TRUE,2006-08-02,2012-04-27,57800,"program",FALSE,FALSE,TRUE,TRUE,2095,23.4863876472978,3.43041587728417e-06,-0.25085145716771
"Picasa Web Albums Plugin for iPhoto",TRUE,2006-08-02,2012-04-27,64600,"program",FALSE,FALSE,TRUE,TRUE,2095,26.2494920763917,3.83399421578819e-06,-0.262006939189097
"Deskbar",TRUE,2003-11-03,2006-02-21,202000,"program",FALSE,FALSE,FALSE,FALSE,841,58.3140877598152,5.50731878255453e-05,-0.414592322135712
"Tashkeel",TRUE,2010-03-23,2011-09-30,107000,"service",FALSE,FALSE,FALSE,FALSE,556,94.5229681978799,8.42191931448258e-07,-0.325213339647024
"Breadcrumb",TRUE,2010-09-24,2011-09-02,5790,"service",FALSE,TRUE,FALSE,FALSE,343,6.11404435058078,3.44009815254467e-08,-0.105357546408547
"Script Converter",TRUE,2009-11-03,2011-08-16,39000,"service",FALSE,FALSE,FALSE,FALSE,651,30.6603773584906,3.79768040475875e-07,-0.231536758689732
"Talk Guru",TRUE,2011-03-29,2011-09-30,102000,"service",FALSE,FALSE,FALSE,FALSE,185,134.034165571616,4.56769633912938e-07,-0.335506929279612
"Mini",TRUE,2005-01-13,2012-07-31,579000,"thing",TRUE,FALSE,FALSE,FALSE,2756,191.278493557978,8.12390183774674e-05,-0.557832485683881
"FeedBurner API",TRUE,2007-06-03,2012-10-20,7050,"service",TRUE,FALSE,TRUE,FALSE,1966,3.26994434137291,2.63178436646764e-07,-0.0782005979183255
"Current",TRUE,2005-08-01,2007-07-10,269000,"other",TRUE,FALSE,FALSE,FALSE,708,95.1538733639901,2.78484170905262e-05,-0.434322685088331
"Living Stories",TRUE,2009-12-08,2010-02-17,87500,"service",FALSE,TRUE,FALSE,FALSE,71,70.7356507679871,8.07895581128216e-07,-0.303585458211134
"Yinyue",TRUE,2009-03-30,2012-10-01,135000,"service",TRUE,FALSE,FALSE,FALSE,1281,90.6040268456376,1.83108646288907e-06,-0.341127450145425
"Open Spot",TRUE,2010-07-09,2012-06-25,101000,"program",FALSE,FALSE,FALSE,FALSE,717,98.6328125,6.74602930503358e-07,-0.3231302867607
"Panoramio app",TRUE,2009-10-20,2012-06-05,2520,"program",FALSE,FALSE,TRUE,TRUE,959,1.95956454121306,2.5066690469876e-08,-0.0384374819843221
"Real-Time Search",TRUE,2009-12-07,2011-07-02,529000,"service",FALSE,FALSE,TRUE,FALSE,572,427.302100161551,4.89173634161213e-06,-0.495380231358494
"Secure Access",TRUE,2005-09-20,2005-10-22,121000,"program",FALSE,FALSE,FALSE,FALSE,32,43.5722002160605,1.16097839527768e-05,-0.332148141505489
"Supplemental Result",TRUE,2003-09-01,2007-07-31,20000,"service",FALSE,FALSE,FALSE,FALSE,1429,5.67054153671676,6.00082235692811e-06,-0.144323047689608
"Visigami",TRUE,2008-04-30,2011-08-20,33600,"program",FALSE,TRUE,FALSE,FALSE,1207,18.4210526315789,7.57212197825846e-07,-0.206724297807732
"Doctype",TRUE,2008-05-14,2011-10-04,13400,"program",FALSE,TRUE,FALSE,FALSE,1238,7.40331491712707,2.95624532651415e-07,-0.133158472213009
"Frommer's travel guides",TRUE,2012-08-31,2013-03-21,1350000,"thing",TRUE,TRUE,TRUE,FALSE,202,5625,2.73824418061604e-06,-0.67417595806523
"Google X",TRUE,2005-03-15,2005-03-16,7530000,"service",FALSE,FALSE,FALSE,FALSE,1,2538.77275792313,0.000962962842941469,-1.12870792525406
"RE<C",TRUE,2007-11-27,2011-11-23,220000,"other",FALSE,FALSE,FALSE,FALSE,1457,111.167256189995,6.27524018220233e-06,-0.393277876315618
