"Product","Dead","Started","Ended","Hits","Type","Profit","FLOSS","Acquisition","Social","Days","AvgHits","DeflatedHits","AvgDeflatedHits"
"Voice Actions",FALSE,2010-08-12,2013-04-01,506000,"program",FALSE,FALSE,FALSE,FALSE,963,511.111111111111,3.20945232526527e-06,-0.493033815933388
"Transparency Report",FALSE,2010-04-20,2013-04-01,958000,"program",FALSE,FALSE,FALSE,FALSE,1077,867.753623188406,7.22615888163496e-06,-0.571550976609432
"Scribe",FALSE,2010-09-07,2013-04-01,61700,"service",FALSE,FALSE,FALSE,FALSE,937,64.0041493775934,3.76184288529987e-07,-0.281139419380364
"Sputnik",TRUE,2009-06-29,2011-09-30,25000,"program",FALSE,TRUE,FALSE,FALSE,823,17.8699070764832,2.95282603866858e-07,-0.191756187698776
"YouTube Partnership Program",FALSE,2007-05-04,2013-04-01,442000,"service",TRUE,FALSE,FALSE,FALSE,2159,202.195791399817,1.72698726645419e-05,-0.484130189148701
"All for Good",FALSE,2009-06-22,2013-04-01,2310000,"service",FALSE,TRUE,FALSE,FALSE,1379,1642.95874822191,2.75759928966163e-05,-0.705263435503743
"I/O",FALSE,2008-03-10,2013-04-01,89500000,"other",FALSE,FALSE,FALSE,FALSE,1848,47733.3333333333,0.00217957097454223,-1.75787902481402
"YouTube Symphony Orchestra",FALSE,2008-12-01,2013-04-01,1390000,"other",FALSE,FALSE,FALSE,FALSE,1582,863.890615288999,2.25918822331259e-05,-0.63203372387848
"Ventures",FALSE,2009-03-30,2013-04-01,684000,"other",TRUE,FALSE,FALSE,FALSE,1463,459.060402684564,9.27750474530462e-06,-0.528928650802831
"Measurement Lab",FALSE,2009-01-28,2013-04-01,29400,"program",FALSE,TRUE,FALSE,FALSE,1524,18.9555125725338,4.37516024101785e-07,-0.200933215870075
"LIFE photo archive",FALSE,2008-11-18,2013-04-01,403000,"service",FALSE,FALSE,FALSE,FALSE,1595,248.45869297164,6.68074849995317e-06,-0.462835411965294
"Google.org",FALSE,2005-11-11,2013-04-01,701000,"other",FALSE,FALSE,FALSE,FALSE,2698,257.247706422018,6.21479689121734e-05,-0.572996469304583
"Lunar X Prize sponsorship",FALSE,2007-09-13,2013-04-01,436000,"other",FALSE,FALSE,FALSE,FALSE,2027,212.268743914314,1.39382536009941e-05,-0.479198084166562
"The Literacy Project",FALSE,2008-04-22,2013-04-01,166000,"service",FALSE,FALSE,FALSE,FALSE,1805,90.6113537117904,3.78676127097936e-06,-0.360988442855302
"Summer of Code",FALSE,2005-06-01,2013-04-01,1480000,"other",FALSE,TRUE,FALSE,FALSE,2861,512.465373961219,0.000168105336425612,-0.717902513087463
"Site targeting",FALSE,2005-04-25,2013-04-01,36500,"service",TRUE,FALSE,FALSE,FALSE,2898,12.4786324786325,4.38570741287953e-06,-0.204586619428217
"Anita Borg Memorial Scholarship",FALSE,2003-12-04,2013-04-01,358000,"other",FALSE,FALSE,FALSE,FALSE,3406,104.281969123216,9.31120746225789e-05,-0.500672842688035
"Code Jam",FALSE,2003-09-18,2013-04-01,280000,"other",FALSE,FALSE,FALSE,FALSE,3483,79.7720797720798,8.18682651260634e-05,-0.465354711031758
"Protocol Buffers",FALSE,2008-07-07,2013-04-01,258000,"program",FALSE,TRUE,FALSE,FALSE,1729,146.924829157175,5.24330540434596e-06,-0.410404005351948
