"Sleep.Date","ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Morning.Feel","MP","Disturbance"
2012-06-15,84,486,28,23,145,292,50,8,2,"2",0.367033521269093
2012-06-17,98,528,26,17,199,262,67,7,3,"2",-0.4308671380655
2012-06-18,85,468,19,28,150,258,61,5,3,"2",-0.987101142163122
2012-06-19,84,466,21,26,180,227,60,10,2,"2",0.691291972292703
2012-06-20,111,597,10,9,207,317,73,6,3,"3",-2.33216443980118
2012-06-21,91,512,26,22,177,283,53,6,1,"3",-0.48759879759698
2012-06-23,81,472,16,35,116,296,60,8,2,"2",0.16819733291994
2012-06-24,97,542,23,19,212,279,51,7,3,"1",-0.53504000323573
2012-06-25,107,569,15,14,205,294,71,4,3,"3",-2.362779347052
2012-06-26,91,539,26,29,184,302,54,13,3,"3",2.19700317860697
2012-06-27,84,497,14,27,139,313,46,8,3,"2",-0.409580212634344
2012-06-28,84,477,24,25,163,265,50,7,2,"3",-0.137223594292703
2012-06-29,85,520,40,31,160,318,43,12,2,"3",2.97134907106187
2012-06-30,68,420,17,50,138,238,45,12,3,"4",2.37239110439422
2012-07-01,93,520,12,18,179,291,51,6,3,"2",-1.69992307616396
2012-07-02,88,522,34,56,151,306,66,11,1,"3",3.57769277051701
2012-07-03,104,575,22,23,184,322,70,6,3,"2",-0.717268981295525
2012-07-04,88,525,32,34,157,317,51,11,2,"3",2.23742177180153
2012-07-05,88,524,25,41,175,292,57,13,3,"3",2.77953549515691
2012-07-06,97,542,28,6,148,334,60,4,3,"2",-1.8750543859257
2012-07-07,95,551,28,24,194,299,58,12,4,"4",1.73770033913681
2012-07-08,64,368,57,13,99,222,48,7,1,"4",1.55331610340926
2012-07-09,86,466,23,7,94,301,72,3,3,"1",-2.50480882001581
2012-07-11,89,505,19,30,142,290,74,11,4,"2",1.09613099367992
2012-07-12,76,461,61,98,150,255,56,8,1,"4",6.79592539218705
2012-07-13,95,525,30,17,172,292,61,5,4,"4",-0.804834636176398
2012-07-14,96,523,21,10,171,285,67,6,3,"4",-1.49633211681915
2012-07-15,88,490,25,14,168,264,58,8,4,"3",-0.336241342813506
2012-07-16,98,535,20,10,204,267,65,9,3,"4",-0.580213367425942
2012-07-17,99,542,19,9,153,317,72,6,3,"3",-1.69286293579284
2012-07-18,99,527,19,13,181,275,71,5,2,"3",-1.80405841340726
2012-07-19,86,490,16,24,168,264,59,10,3,"4",0.227196833899959
2012-07-20,109,604,19,13,219,324,62,7,2,"3",-1.14595691351487
2012-07-22,93,556,22,35,174,324,58,13,3,"3",2.23965208532314
